"fromId","toId","type"
"503","372","DECOMPOSED_FROM"
"475","372","DECOMPOSED_FROM"
"495","372","DECOMPOSED_FROM"
"498","372","DECOMPOSED_FROM"
"568","372","DECOMPOSED_FROM"
"484","372","DECOMPOSED_FROM"
"500","372","DECOMPOSED_FROM"
"502","372","DECOMPOSED_FROM"
"614","373","DECOMPOSED_FROM"
"615","373","DECOMPOSED_FROM"
"652","373","DECOMPOSED_FROM"
"491","373","DECOMPOSED_FROM"
"602","373","DECOMPOSED_FROM"
"439","375","DECOMPOSED_FROM"
"702","375","DECOMPOSED_FROM"
"701","375","DECOMPOSED_FROM"
"438","375","DECOMPOSED_FROM"
"435","375","DECOMPOSED_FROM"
"436","375","DECOMPOSED_FROM"
"700","375","DECOMPOSED_FROM"
"437","375","DECOMPOSED_FROM"
"446","375","DECOMPOSED_FROM"
"423","376","DECOMPOSED_FROM"
"710","376","DECOMPOSED_FROM"
"709","376","DECOMPOSED_FROM"
"708","376","DECOMPOSED_FROM"
"444","376","DECOMPOSED_FROM"
"426","376","DECOMPOSED_FROM"
"422","376","DECOMPOSED_FROM"
"443","376","DECOMPOSED_FROM"
"425","376","DECOMPOSED_FROM"
"711","376","DECOMPOSED_FROM"
"432","376","DECOMPOSED_FROM"
"421","376","DECOMPOSED_FROM"
"442","376","DECOMPOSED_FROM"
"429","376","DECOMPOSED_FROM"
"445","376","DECOMPOSED_FROM"
"714","376","DECOMPOSED_FROM"
"431","376","DECOMPOSED_FROM"
"424","376","DECOMPOSED_FROM"
"433","376","DECOMPOSED_FROM"
"427","376","DECOMPOSED_FROM"
"430","376","DECOMPOSED_FROM"
"428","376","DECOMPOSED_FROM"
"709","379","DECOMPOSED_FROM"
"432","379","DECOMPOSED_FROM"
"710","379","DECOMPOSED_FROM"
"708","379","DECOMPOSED_FROM"
"443","379","DECOMPOSED_FROM"
"431","379","DECOMPOSED_FROM"
"427","379","DECOMPOSED_FROM"
"423","379","DECOMPOSED_FROM"
"424","379","DECOMPOSED_FROM"
"426","379","DECOMPOSED_FROM"
"714","379","DECOMPOSED_FROM"
"422","379","DECOMPOSED_FROM"
"425","379","DECOMPOSED_FROM"
"421","379","DECOMPOSED_FROM"
"442","379","DECOMPOSED_FROM"
"711","379","DECOMPOSED_FROM"
"429","379","DECOMPOSED_FROM"
"428","379","DECOMPOSED_FROM"
"430","379","DECOMPOSED_FROM"
"444","379","DECOMPOSED_FROM"
"445","379","DECOMPOSED_FROM"
"433","379","DECOMPOSED_FROM"
"460","380","DECOMPOSED_FROM"
"458","380","DECOMPOSED_FROM"
"451","380","DECOMPOSED_FROM"
"697","380","DECOMPOSED_FROM"
"456","380","DECOMPOSED_FROM"
"623","380","DECOMPOSED_FROM"
"691","380","DECOMPOSED_FROM"
"462","380","DECOMPOSED_FROM"
"471","380","DECOMPOSED_FROM"
